manuscript_section,claim_text,reported_value,source_output,verified_value,status,notes
Abstract,"We synthesized committed outputs for cross-domain coupling among BAC, ITS, EUK, and AMF using the final matched cohort (n=84), and integrated matrix-concordance (Mantel), geometric-alignment (Procrustes), environmental constrained-ordination (dbRDA), and plant-diversity model-comparison layers.",84,results/phase4_coupling_inference/phase4_mantel_inference.csv#row0:n_samples,84.0,verified,
Abstract,"Environmental structure was substantial across models (adjusted R2 values generally around 0.18 to 0.28; p=0.002 in all dbRDA summaries), and pH_KCl repeatedly ranked as the largest predictor-level contribution.",0.18,results/phase2_confirmatory_coupling/snapshot1.csv#row2:mantel_spearman,0.17779,verified,
Abstract,"Environmental structure was substantial across models (adjusted R2 values generally around 0.18 to 0.28; p=0.002 in all dbRDA summaries), and pH_KCl repeatedly ranked as the largest predictor-level contribution.",0.28,results/phase4_coupling_inference/phase4_mantel_inference.csv#row9:mantel_ci_lower,0.276994,verified,
Abstract,"Environmental structure was substantial across models (adjusted R2 values generally around 0.18 to 0.28; p=0.002 in all dbRDA summaries), and pH_KCl repeatedly ranked as the largest predictor-level contribution.",0.002,results/phase4_coupling_inference/phase4_mantel_inference.csv#row0:mantel_perm_pvalue,0.002,verified,
Abstract,"We hypothesized that (1) bacterial-fungal communities would exhibit the strongest overall coupling, reflecting their shared ecological functions and responses to rhizosphere processes; (2) environmental filtering, particularly soil pH, would explain a substantial fraction of cross-domain concordance; and (3) AMF-linked associations would show greater sensitivity to plant-community context than would be predicted from coupling strength alone (Wang et al., 2024) (Ledger et al., 2026).",1,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_mantel,1.0,verified,
Abstract,"We hypothesized that (1) bacterial-fungal communities would exhibit the strongest overall coupling, reflecting their shared ecological functions and responses to rhizosphere processes; (2) environmental filtering, particularly soil pH, would explain a substantial fraction of cross-domain concordance; and (3) AMF-linked associations would show greater sensitivity to plant-community context than would be predicted from coupling strength alone (Wang et al., 2024) (Ledger et al., 2026).",2,results/phase4_coupling_inference/phase4_summary.csv#row0:thresholds_evaluated,2.0,verified,
Abstract,"We hypothesized that (1) bacterial-fungal communities would exhibit the strongest overall coupling, reflecting their shared ecological functions and responses to rhizosphere processes; (2) environmental filtering, particularly soil pH, would explain a substantial fraction of cross-domain concordance; and (3) AMF-linked associations would show greater sensitivity to plant-community context than would be predicted from coupling strength alone (Wang et al., 2024) (Ledger et al., 2026).",3,results/phase4_coupling_inference/phase4_summary.csv#row1:rank_mantel,3.0,verified,
Methods,"### 2.1 Study system and matched cohort We analyzed a matched cross-domain soil microbiome cohort containing 84 sites with complete overlap across bacterial communities (BAC), fungal internal transcribed spacer profiles (ITS), microbial eukaryotes (EUK), and arbuscular mycorrhizal fungi (AMF).",2.1,,,not_found,
Methods,"### 2.1 Study system and matched cohort We analyzed a matched cross-domain soil microbiome cohort containing 84 sites with complete overlap across bacterial communities (BAC), fungal internal transcribed spacer profiles (ITS), microbial eukaryotes (EUK), and arbuscular mycorrhizal fungi (AMF).",84,results/phase4_coupling_inference/phase4_mantel_inference.csv#row0:n_samples,84.0,verified,
Methods,"This study included 84 sites distributed across six continents within the DarkDivNet framework (Europe 54, Asia 14, North America 8, Africa 1, South America 4, and Oceania 3; Fig.",84,results/phase4_coupling_inference/phase4_mantel_inference.csv#row0:n_samples,84.0,verified,
