topic,source_title,year,doi,quote_or_abstract_snippet,intended_use
Arbuscular mycorrhizal fungal ecology,Arbuscular mycorrhizal fungal communities and global change: an uncertain future.,2018,10.1093/femsec/fiy179,Arbuscular mycorrhizal (AM) fungi are amongst the most common and functionally important symbionts of terrestrial plants and are highly likely to be affected by global change. The potential consequences of this on plant growth and carbon and nutrient cycling h,Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Bacteria–fungi interactions,Mechanisms and implications of bacterial–fungal competition for soil resources,2024,10.1093/ismejo/wrae073,"Abstract Elucidating complex interactions between bacteria and fungi that determine microbial community structure, composition, and functions in soil, as well as regulate carbon (C) and nutrient fluxes, is crucial to understand biogeochemical cycles. Among the",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Bacteria–fungi interactions,"Soil Microbiome: Diversity, Benefits and Interactions with Plants",2023,10.3390/su151914643,"Plant roots aid the growth and functions of several kinds of microorganisms such as plant growth-promoting rhizobacteria, mycorrhizal fungi, endophytic bacteria, actinomycetes, nematodes, protozoans which may impart significant impacts on plant health and grow",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Compositional-data/network-analysis cautions,Mapping the microbial interactome: Statistical and experimental approaches for microbiome network inference,2019,10.1177/1535370219836771,"Advances in high-throughput sequencing have ushered in a new era of research into the gut microbiome and its role in human health and disease. However, due to the unique characteristics of microbiome survey data, their use for the detection of ecological inter",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Compositional-data/network-analysis cautions,Deep learning in microbiome analysis: a comprehensive review of neural network models,2025,10.3389/fmicb.2024.1516667,"Microbiome research, the study of microbial communities in diverse environments, has seen significant advances due to the integration of deep learning (DL) methods. These computational techniques have become essential for addressing the inherent complexity and",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Dark diversity theory,Global impoverishment of natural vegetation revealed by dark diversity,2025,10.1038/s41586-025-08814-5,"Anthropogenic biodiversity decline threatens the functioning of ecosystems and the many benefits they provide to humanity1. As well as causing species losses in directly affected locations, human influence might also reduce biodiversity in relatively unmodifie",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Environmental filtering of microbial communities,Linking bacterial community composition to soil salinity along environmental gradients,2018,10.1038/s41396-018-0313-8,Salinization is recognized as a threat to soil fertility worldwide. A challenge in understanding the effects of salinity on soil microbial communities is the fact that it can be difficult to disentangle the effects of salinity from those of other variables tha,Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Soil microbial cross-domain coupling,"Responses of soil microbial diversity, network complexity and multifunctionality to three land-use changes.",2022,10.1016/j.scitotenv.2022.160255,"Land-use change is one of the greatest challenges for natural ecosystem services. Soil microbiomes are essential for modulating multiple ecosystem functions. However, little is known about the impact of land-use changes on soil microbial communities and their",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Soil microbial cross-domain coupling,Microplastics Trigger Soil Dissolved Organic Carbon and Nutrient Turnover by Strengthening Microbial Network Connectivity and Cross-Trophic Interactions.,2025,10.1021/acs.est.4c12546,"Increasing microplastic (MP) inputs in agricultural soils have gained global attention for their ecological effects, especially on soil organic carbon (SOC) and nutrient turnover. However, the microbial mechanism underlying MP-induced SOC and nutrient dynamics",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
Soil pH as a global microbial driver,Effects of 7 years experimental warming on soil bacterial and fungal community structure in the Northern Tibet alpine meadow at three elevations.,2019,10.1016/j.scitotenv.2018.11.309,"A warming experiment was established along an altitudinal gradient (low elevation: 4313 m, mid-elevation: 4513 m and high elevation: 4693 m) in alpine meadows of the Northern Tibet to investigate the effects of warming on soil bacterial and fungal community st",Use as evidence statement in intro scaffold; paraphrase in manuscript text.
