claim_id,claim,supporting_analysis_artifact,supporting_citations,support_level,flag
C01,BAC↔ITS (presence/absence) has the highest integrated coupling strength (~0.574) among evaluated pair-branch combinations.,results/phase5d_synthesis/final_coupling_rankings.csv,R01;R02;R03,strong,supported_by_results
C02,EUK↔ITS occupies the second coupling tier in both presence/absence and CLR branches.,results/phase5d_synthesis/final_coupling_rankings.csv,R01;R04,strong,supported_by_results
C03,"Environmental structure is substantial (dbRDA adjusted R² approximately 0.188–0.278), with pH_KCl recurrently top-ranked.",results/phase5d_synthesis/final_environment_driver_summary.csv;results/phase5b_environmental_drivers/phase5b_predictor_ranking.csv,R05;R06;R07,strong,supported_by_results
C04,"Plant-diversity effects are modest but reproducible, with alpha-inclusive models ranking highest and completeness weak/negative.",results/phase5d_synthesis/final_plant_diversity_summary.csv;results/phase5c_plant_diversity/phase5c_hypothesis_summary.csv,R08;R09;R10,strong,supported_by_results
C05,AMF-centered pairings have lower coupling magnitude but relatively larger plant-associated increments.,results/phase5d_synthesis/final_pair_synthesis.csv;results/phase5d_synthesis/final_plant_diversity_summary.csv,R11;R12,strong,supported_by_results
C06,Mantel and Procrustes can diverge because they quantify different properties of multivariate structure.,results/phase5d_synthesis/final_coupling_rankings.csv,R13;R14;R15,strong,supported_with_methodological_citations
C07,BAC↔ITS coupling may primarily reflect shared environmental filtering rather than direct interaction.,results/phase5d_synthesis/final_coupling_rankings.csv;results/phase5d_synthesis/final_environment_driver_summary.csv,R05;R06;R16,strong,supported_conservative_inference
C08,Observed cross-domain coupling alone is insufficient for causal interaction inference in observational amplicon studies.,results/phase5d_synthesis/final_pair_synthesis.csv,R13;R17;R18,strong,supported_with_limitations_citations
C09,Alpha diversity is likely informative but partially non-independent from other plant metrics and should be interpreted as incremental context.,results/phase5c_plant_diversity/phase5c_model_comparison.csv;results/phase5d_synthesis/final_plant_diversity_summary.csv,R09;R10;R19,weak,needs_collinearity_caution
C10,Dark-diversity metrics are ecologically relevant but less predictive here than alpha or pool effects.,results/phase5d_synthesis/final_plant_diversity_summary.csv,R20;R21,weak,supported_but_effect_small
C11,Modest ΔR² values can still be biologically meaningful if interpreted as secondary contributions within multicausal assembly.,results/phase5d_synthesis/final_plant_diversity_summary.csv;results/phase5c_plant_diversity/phase5c_hypothesis_summary.csv,R22;R23,weak,interpretive_claim_needs_careful_wording
C12,"The dataset supports a deterministic-versus-stochastic assembly framing, but does not partition process contributions directly.",results/phase5d_synthesis/final_pair_synthesis.csv,R24;R25,weak,conceptual_not_directly_tested
C13,Cross-domain findings are robust to compositional data caveats.,,R17;R26,unsupported,do_not_claim_as_settled
C14,AMF-specific mechanisms are demonstrated.,,R11;R12,unsupported,overclaim_risk
